～おき,～置き,隔，每隔
あか,赤,红，红色；红灯；（贬词）赤色分子；赤字；铜；（赤の）完全，分明
あか,垢,污垢，油泥；水锈，水碱
あかい,赤い,红的，红色的
あかし,証,证据，证明，清白的证据
あかじ,赤字,入不敷出，亏空，赤字，红字
あかす,明かす,说出，吐露（秘密），揭露，揭破，揭示（身份）；过夜
あかちゃん,赤ちゃん,小宝宝，小宝贝，小娃娃，婴儿
あかぬける,あか抜ける,（垢抜ける）时髦，俏皮起来，不土气，脱掉土气
あからむ,赤らむ,变红，红起来
あかり,灯り,灯火，光亮
あかり,明かり,光，亮儿，灯，希望
あがり,上がり,上，往上；进步，长进；（结尾）～出身，当过～，刚～过～，刚～完；上涨，涨价；完成，告竣；收入，利益，收获
あがる,挙がる,（犯人）被抓住，被检举；（证据）被发现，被找到
あがる,上がる,往上，登，上（台阶）；举（手）；（太阳）升；升学，上学；上陆，登陆；出浴；进屋；怯场；有（效果），取得（成绩）；加快（速度）；上涨，涨价；进步，长进（本事）；发出；完成；够用；满，和；（雨）住，停；晋（级），加（薪）；（敬语）吃，喝；（自谦）去，访；（结尾）完，极为
あがる,揚がる,炸（鱼，菜等）
あかるい,明るい,明亮的；明朗的，快活的；熟悉的，精通的；有指望的
あかんぼう,赤ん坊,婴儿，乳儿，小宝宝，小宝贝，娃娃
あき,空き,空当儿，空白，空，空儿，空地，余暇
あき,明き,空当儿，空白，空，空儿，空地，余暇
あき,秋,秋，秋天，秋季
あきはばら,秋葉原,秋叶原，东京都千代田区东北部的地名，第二次世界大战后，作为电器产品批发店、小型零售店街发展起来
あきらか,明らか,明亮，明显，显然；明确，清楚，毫无疑问
あきらめ,諦め,断念，死心，想开，达观，不指望
あきらめる,諦める,放弃，断念，死心，抱达观，想开，不指望
あきる,飽きる,厌烦，腻
あきれる,飽きれる,吃惊，惊讶，吓呆，发愣
あきれる,呆れる,（因出乎预料）吃惊，惊讶，吓呆，发愣；厌恶，厌弃
あく,悪,恶（习），歹，坏，反派角色
あく,開く,（开）门；开始
あく,空く,（座位）空，闲，（职位）空缺；（时间等）腾出
あくしゅ,握手,握手，和好，合作，妥协
あくせく,,辛辛苦苦，忙忙碌碌，拘泥细节
アクセサリ,accessory,服饰，首饰用品；装饰品；（机器等）附件
アクセサリー,accessory,首饰，装饰品
アクセル,accelerator,（汽车，飞机的）加速器，加速踏板，油门儿
アクセント,accent,重音；声调，语调，口音，音调；（美容，服饰，图案）强调，着重，重点；强势
あくどい,,（颜色）过于浓艳，（味道）太腻，（图形）太刺眼；（品质，做法）恶劣，太过火而（使人）讨厌，恶毒
あくび,欠伸,哈欠，哈息
あくま,悪魔,恶魔，魔鬼
あくまで,飽くまで,到底，彻底；顽强，坚持
あくまでも,飽くまでも,到底，坚决；彻底，始终；顽强，坚持
あけがた,明け方,黎明，拂晓
あけくれる,明け暮れる,一天一天地过去，日往夜来，经常致力于～，埋头于～
あける,開ける,开，打开（门窗），推开，拉开；空出
あける,空ける,（挖）洞；空出，腾出（席位，房间）；倒；出门，不在
あける,明ける,天明，天亮；过（年）；（期）满，结束
あげる,挙げる,举（例），举（兵）；列举，举出（证据）；举行（仪式）；取得（效果）；捕，捉（犯人）；竭尽（全力）；推荐
あげる,上げる,上；抬高，提高（价格）；长进，提高（技术）；提升，提拔；做（发型）；呕吐；供（学）；上供；（客套话）给；夸奖；叠；加快（速度）；取得，获得（利润）；放（声），发出（高声）；（上接动词）尽可能做出，完成；表示自谦；给，做
あげる,揚げる,放（风筝，烟火）；悬（旗）；起（货）；（油）炸
あげる,,（お祝いをあげる）送，给
あご,顎,颌，腭，下颌，下巴
あこがれ,憧れ,憧憬，向往
あこがれる,憧れる,憧憬，向往，渴望
あさ,朝,朝，早晨，早上，午前
あさ,麻,麻，大麻，麻纤维，麻纱，麻布
あざ,痣,痣，记，血斑，青紫斑
あさい,浅い,（水等）浅的；（伤）轻的；（时日，季节）短促的，早；（程度）浅的，浅薄的；（颜色等）淡的，浅的
あさくさ,浅草,东京市内传统气息很浓的商业区
あさごはん,朝御飯,早饭，早餐
あさって,,后天
あさねぼう,朝寝坊,早晨睡懒觉（的人），起床晚
あさはか,浅はか,浅薄的，肤浅的，浅见的
あさひかわ,旭川,日本地名
あさましい,浅ましい,卑鄙的，下流，可耻的；可怜的，可悯的，可叹
あざむく,欺く,欺骗；赛过，胜似
あざやか,鮮やか,（色彩等）鲜明，美丽，鲜艳；（干得）漂亮，巧妙
あざわらう,嘲う,嘲笑
あざわらう,嘲笑う,嘲笑
あし,脚,脚；腿；脚步，步行；（器物的）腿儿；钱
あし,足,脚；腿；脚步，步行；（器物的）腿儿；钱
あじ,味,味，味道；趣味，妙处；体会
アジア,Asia,亚洲，亚细亚
あしあと,足跡,足迹，脚印，踪迹；业绩，成就
あしからず,悪しからず,请原谅，请不见怪
あじけない,味気ない,没有趣味的，乏味，无聊的
あした,明日,明天，明儿，明儿个，明日
あじつけ,味付け,调味，加佐料
あしもと,足元,脚下；身边，身旁；脚步，步伐；弱点，短处
あしらう,,招待；应付，敷衍；配合
あじわい,味わい,味，味道；趣味，妙处，妙趣
あじわう,味わう,尝（味）；品味，玩味，鉴赏；体验，经受
あしをこっせつする,足を骨折する,脚（腿）骨折了
あしをのばす,足を延ばす,（舒展一下）伸开腿；进一步到更远的地方去
あしをひっぱる,足を引っ張る,拖后腿，阻扰他人的升职或阻止事物的发展
あしをむけられない,足を向けられない,不能不对恩人表示感谢
あす,明日,明天，将来
あずかる,預かる,收存，保管；担任，管理，负责；（替人）照看，照管；保留
あずける,預ける,存，寄存，寄放；托，委托（某人）处理，交给（某人）办理
あせ,汗,汗，汗水，渗出水分，返潮
あせる,焦る,焦躁，急躁，着急
あせる,褪せる,褪色，掉色，走色
あせをかく,汗をかく,流汗，出汗，出汗（冒汗）
あせをかく,汗を掻く,出汗，流汗（汗をかく）
あそこ,彼処,那儿，那里，那种局面，那种情况
あそび,遊び,游戏，玩耍，游玩，消遣
あそぶ,遊ぶ,玩，游戏；游手好闲；闲着，闲置不用
あたい,値,价值，价，价钱，值
あたいする,値する,值，价钱相当于～，值得，有～价值
あたえる,与える,给，与，给予，供给，授予；使蒙受
あたたか,暖か,温暖，暖和；（经济）富足，富裕
あたたか,温か,温暖，暖和；（经济）富足，富裕
あたたかい,暖かい,暖的，暖和的；（性情）温和的，温暖的，热情；（金钱）富裕
あたたかい,温かい,暖的，暖和的；（性情）温和的，温暖的，热情；（金钱）富裕
あたたまる,暖まる,取暖，暖和；（感到）温暖；宽绰
あたたまる,温まる,取暖，暖和；（感到）温暖；宽绰
あたためる,暖める,加热，烫；酝酿（计划）；恢复
あたためる,温める,加热，烫；酝酿（计划）；恢复
あたま,頭,头，脑袋，头部；头发；头脑，脑筋；上端；首领，头目
あたまがあがらない,頭が上がらない,（在权力、实力面前）抬不起头
あたまがさがる,頭が下がる,钦佩，佩服
あたまにくる,頭に来る,气得发晕，大发雷霆，恼火；（酒）上头，易醉
あたまをかす,頭を貸す,出主意
あたらしい,新しい,新的，新式的；新鲜的
あたり,当たり,打中，射中，命中；中彩，中奖；成功；待人，手感，舌感；线索，头绪；中毒，中暑；（围棋）叫吃；（水果）压伤，硬伤；（结尾）每，平均
あたり,当り,打中，射中，命中；中彩，中奖；成功；待人，手感，舌感；线索，头绪；中毒，中暑；（围棋）叫吃；（水果）压伤，硬伤；（结尾）每，平均
あたり,辺り,附近，周围，一带；（事件，范围，程度）大概，大约，上下，前后，左右
あたりまえ,当たり前,当然，理所当然，自然，应该；平常，普通
あたる,当たる,碰上，撞上；中，命中；说对，猜中；应付；承担，担任；轮，值；试探，问，打听；出气；抵挡，对抗；（太阳）晒，照；烤，取暖；对照，查对；成功，博得好评；挨，遭；打（补丁）；招（风），兜（风）；（课堂上）被提问；中毒；（水果）烂，硬伤；合，相当于；是（的日子）；正当，当（之际）；不必，不用
あちこち,彼方此方,这儿那儿，到处
あちら,彼方,那儿，那里，那边，那个；外国；那个人
あちらこちら,,到处
あつい,厚い,厚的；深厚的，优厚的
あつい,熱い,热的，火烫的；热中，热心，热爱
あつい,暑い,（天气）热的，暑热的
あっか,悪化,恶化，变坏
あつかい,扱い,使用，操纵；待，待遇；办，处理
あつかう,扱う,使用，操作，操纵；待，待遇，对待，接待，应酬；处理，办理，担任
あつかましい,厚かましい,厚脸皮的，不害羞，无耻的
あっけない,呆気ない,不尽兴的，太简单，简单的
あっさり,,（味道等）清淡；简单，轻轻地
あっしゅく,圧縮,压缩，缩短，压紧
あっせん,斡旋,帮助，关照，斡旋，介绍，从中协助
あっち,彼方,那边，那里，那个
あっとう,圧倒,压倒，胜过，超过
あっぱく,圧迫,压迫
アップ,up,提升，向上
あつまり,集まり,集会，会，会合，汇集；收藏（的情况）
あつまる,集まる,集，聚；集合，汇集，汇合，集中
あつめる,集める,集中，集合；招集，吸引，收集，搜集
あつらえる,誂える,定做；定购
あつらえる,誂る,订做
あつりょく,圧力,压力，制服力，压力
あて,当て,目的，目标；期待，指望；依靠，依赖
あて,宛て,（宛，结尾）（寄，送，汇）给，（由）收；每
あてじ,当て字,借用字，音译字，假借字，别字，译音
あてじ,当字,借用字
あてじ,宛字,借用字
あてな,宛て名,收件人姓名，地址
あてな,宛名,收件人姓名
あてはまる,当てはまる,适用，适合，合适，恰当，正合适，符合
あてはまる,当て嵌まる,适合，适当
あてはめる,当て嵌める,适用，应用
あてる,充てる,碰，猜，当，放在
あてる,当てる,碰，撞；贴，触，按，放；补；晒（太阳）；中（奖），命中；猜，推测；成功，获利；提名；（分配）任务，当作（使用），拨出（款项）；（寄）给；注音；铺上，垫上；量；中毒，中暑；被烦恼
あてる,宛てる,发给
あと,痕,迹，迹象，痕迹
あと,後,后边，后面，后方；以后；事后；死后；后任，后妻；子孙
あと,跡,印，迹，痕迹，迹象；遗迹
あどけない,,天真烂漫，孩子气，天真无邪
あとつぎ,跡継,后任，继承，接班人，继任人；后嗣，嗣子
あとつぎ,跡継ぎ,后任，继承，接班人，继任人；后嗣，嗣子
あとまわし,後回し,推迟，往后推，缓办
あな,穴,坑；孔，眼，洞，窟窿；亏空，欠缺；（赛马等）胜利出乎意料，意外之财
アナウンサー,announcer,广播员，报告员，播音员，播送员
あなた,貴方,您，你
あなどる,侮る,轻视；侮辱
あに,兄,兄，哥哥，家兄，舍兄
あね,姉,姐姐，姊，家姊，嫂
あの,,那，那个，喂
あのように,,正如那样
アパート,apartment house,（apartment）公寓，公共住宅
アパートにすむ,アパートに住む,住公寓
あばれる,暴れる,闹，乱闹；横冲直闯，猛冲猛闯；在江湖上闯荡，荒唐
あびる,浴びる,浇（水），淋（浴）；照，晒；受，蒙，遭
あぶない,危ない,危险，不安全；危殆，危笃；靠不住，令人担心
あぶなく,危なく,险些，差一点儿
あぶら,油,油，发油，发蜡
あぶら,脂,脂肪，油脂，活动力，干劲
あぶらえ,油絵,油画
あぶらをしぼる,油を絞る,榨油；严厉教训，斥责
アフリカ,Africa,非洲
あぶる,焙る,（用微火）烘，烤，烧；晒；烤火取暖
あぶる,炙る,（用微火）烘，烤，烧；晒；烤火取暖
あふれる,溢れる,（满的）溢出，漾出，充满；（多得）挤出；（物质）充裕；（才智，精力，感情）充满，充沛
アプローチ,approach,接近，靠近，探讨，研究，方法，入口
あべこべ,,反，相反，颠倒
あまい,甘い,甜的，甜味的，淡，甜蜜；（不够咸）淡的；（香味）芬芳的，芳香的；悦耳的（歌曲）；甜美的（嗓音）；甜蜜的（语言）；（想法）单纯的，天真的；乐观的；（不够严格）宽的，宽大的；姑息；（螺丝）松的；（刀）钝的
あまえる,甘える,撒娇，恃宠故意作态，装小孩儿；乘，趁，承
あまぐ,雨具,雨具
あまくち,甘口,带甜味儿的；好吃甜食的人；甜言蜜语，花言巧语
アマチュア,amateur,非专业人士，业余爱好者，业余艺术家，业余运动员，业余的，外行（人），业余
あまど,雨戸,木板套窗，滑窗
あまのがわ,天の川,天河，银河
あまやかす,甘やかす,姑息，娇养，纵容，放任
あまり,余,余，剩余，过度
あまり,余り,太，过于，过分；（结尾）余，有余；剩余，余剩，剩下，剩下的数，余数；过度；（下接否定）（不）那么，（不）太，（不）很，不怎么；多，多些
あまり～ない,,不太
あまりにも,,过于，过分，太
あまる,余る,余，剩，剩下，过分；过头；过分，力不能及
あみ,網,网，铁丝网，罗网；天罗地网，法网
あみもの,編物,编结，编织，编织品，毛线活儿
あみをひく,網を引く,拔河
あむ,編む,编，织；编纂，编辑；打（辫子）
あめ,飴,糖，饴糖，软粘糖，麦芽糖，糖果
あめ,雨,雨，下雨，雨天，雨量
あめがふる,雨が降る,下雨
あめがやむ,雨が止む,雨停
アメリカ,America,（北美洲）美国，美洲
あやうい,危うい,危险
あやしい,怪しい,可疑的，奇异，奇怪的，特别；靠不住的
あやしむ,怪しむ,怀疑；觉得奇怪
あやつる,操る,耍，耍弄；开动，驾驶；操作，掌握
あやぶむ,危ぶむ,担心，认为危险，怀疑，不相信，挂念，挂心
あやふや,,含糊，靠不住，动摇不定
あやまち,過ち,错误，错儿，失败，过错，过失，失事
あやまり,誤り,错误
あやまる,誤る,错，误，弄错；耽误，贻误
あやまる,謝る,谢罪，道歉，认错，认输；请原谅，请勿见怪
あゆみ,歩み,行走，步行，走；脚步，步调；进程，步伐
あゆむ,歩む,行，走，前进；进展，经过
あらあらしい,荒々しい,（荒荒しい）粗暴，粗野，粗鲁，鲁莽
あらい,粗い,粗，大；粗略的；粗枝大叶，粗糙
あらい,荒い,粗暴的；剧烈的，凶猛的；乱～，（没有节制）胡乱，乱来
あらう,洗う,洗；调查，查，查明；（波浪）拍打，泼溅
あらかじめ,予め,预先，先，事先，事前
あらし,嵐,暴风雨，风暴，风雨
あらしやま,嵐山,岚山，位于日本京都市西部，濒临保津川，海拔382m，包括山麓渡月桥在内的峡谷称作岚峡，以樱花和红叶闻名
あらす,荒らす,使荒芜，破坏，毁坏，损伤，糟蹋；骚扰，横行；劫掠
あらすじ,粗筋,概略，梗概，概要，大概
あらそい,争い,争，争论，争吵，纠纷，争夺
あらそう,争う,争，竞争，争夺；斗争，吵嘴；争论，争辩；奋斗
あらた,新た,新，重新，非常新，新鲜
あらたまる,改まる,更新；改变，改善；郑重其事，一本正经
あらためて,改めて,重新；再，再次；改日
あらためる,改める,更改，改变；更正，修改；革新；整容；检，查，点，验
あらっぽい,荒っぽい,粗暴的，粗野的；粗糙的
アラビア語,,（あらびあご）阿拉伯语
アラブ,Arab,阿拉伯人，阿拉伯马，阿拉伯
あらゆる,,所有，一切
あられ,霰,雹子，软雹，米雪；切成小碎块儿的年糕或食品
あらわす,表す,表示，表现，表达；显露，发挥
あらわす,表わす,表示，表现，表达；显露，发挥
あらわす,現す,现，露，显露，出现，露面
あらわす,現わす,现，露，显露，出现，露面
あらわす,著す,著，写，表示，表现，著书
あらわす,著わす,著，著作，写，表示，表现，著书
あらわれ,現われ,出现，出来，暴露，表现，结果
あらわれる,現れる,出现，出来；露出，显露；被发现，暴露
ありがたい,有難い,难得的，值得感谢，稀有的；感谢（不尽）；幸亏，幸好
ありさま,荒様,样子，光景，情况，状态
ありさま,有様,样子，情况
ありのまま,有りのまま,据实，真实，事实上，实事求是地
ありふれる,有り触れる,常见，常有，不稀奇
ありふれる,有触れる,常见，不稀奇
ある,有る,有，存在，持有，归，属，在于；着；是；在～范围内
ある,在る,有，存在，持有，归，属，在于；着；是；在～范围内
あるいは,或いは,或是，或者，或；也许
アルカリ,alkali,碱，强碱
あるきつづける,歩き続ける,继续走，持续走
あるく,歩く,走路，步行，到处～
アルコール,alcohol,酒精，乙醇；酒（类）
アルバイト,Arbeit,打工，（课余的）副业，工读，课余搞副业的人，工读生
アルバム,album,相片簿，照相簿，影集，纪念册，相册
アルファベット,alphabet,罗马字
アルミ,aluminium,铝，铝铜
アルミニウム,aluminium,铝
あれ,彼,那个，那里；那时；他（她）；哎呀
あれこれ,彼是,这个那个，种种
あれる,荒れる,闹（天儿），（波涛）汹涌，（风）狂吹；荒芜，荒废；（皮肤）皲裂；闹乱子，起风波；（生活）散漫，自暴自弃；（行为）粗暴，暴烈；（技术）颓唐，颓废；（比赛）出乎意料，打乱了次序
あれるぎーたいしつ,アレルギー体質,（Allergie体質）过敏性体质
あわ,泡,泡，沫，水花儿
アワー,hour,时间，时刻
あわい,淡い,（颜色，味道）淡的，浅的，浅淡，轻淡；微弱的；浅薄的，淡泊的
あわす,合わす,（同あわせる）合并，配合，调准，比较
あわす,会わす,（同あわせる）合并，配合，调准，比较
あわせる,合わせる,合起，合并，加在一起；混合，配（药）；对（表，口径，账尾）；对照，核对；调合，配合；合（掌），合（奏）；合（力）；齐（声）；偶遇
あわただしい,慌しい,慌忙的，匆忙的，忙碌的；（形势）剧变，急转直下
あわてる,慌てる,惊慌，着慌，慌张，急急忙忙，慌慌张张
あわれ,哀れ,悲哀，悲伤，可怜，凄惨；哀愁
あわれ,憐れ,悲哀，悲伤，可怜，凄惨；哀愁
あん,案,意见，主意；计划，方案
あんい,安易,容易，轻而易举；安逸，安闲，苟且偷安，安闲舒适；随随便便
あんがい,案外,意想不到，出乎意外，意外，没想到，出乎意料
あんき,暗記,熟记，记住，背（通），背诵
アンケート,enquete,（アンケット？）通讯调查，征询意见，征求意见，民意调查，问卷调查，民意测验，调查
アンコール,encore,（听众，观众要求演员，歌手）重演，重唱，再演奏一次，再来一个，再一次；（无线电，电视节目）再播
あんさつ,暗殺,暗杀，行刺
あんざん,暗算,心算
あんじ,暗示,暗示，示意
あんじる,案じる,担心，挂念；想出
あんしん,安心,放心，安心，无忧无虑
あんせい,安静,安静
あんぜん,安全,安全，保险，平安
あんてい,安定,稳定，安定，安稳
アンテナ,antenna,天线
あんな,,那样的，那种，那么
あんない,案内,引导，向导，导游，陪同游览，带（路），领（队）；手册，指南；通知
あんなに,安和に,那么，那样的
あんのじょう,案の定,果然，正如所料，不出所料
あんまり,,（同あまり，あまり的强调形）过度，过于，太，很；不太，不那么（接续否定）
あんらく,安楽,安乐，安逸，舒适
い,胃,胃，胃宿
い,異,异，不同，与众不同；奇怪，奇异
い,意,意，心意，心情，意志；意义
いあつ,威圧,威压，威迫，威逼，威慑，压制，遏抑
いい,,（质量）好，宝贵；（性格）好，善良；美，漂亮；（味道）好，好吃；（天气）爽朗，明朗；吉祥，幸运；成，可以；恰好，适当，合适
いいかげん,いい加減,适当，适度，恰当；马马虎虎，含糊；不彻底，不疼不痒；相当
いいきみ,いい気味,痛快，活该
いいきる,言い切る,说完，断言，断定，说死
いいけいけんになる,いい経験になる,受益匪浅
いいすぎる,言い過ぎる,说得过分，说得过火，说过头
いーすときん,イースト菌,（yeast）酵母菌
いいだす,言い出す,开始说，说出口，说，说出
いいつける,言い付ける,命令，吩咐；告，告密，告状；说惯，常说
いいにつけわるいにつけ,いいにつけ悪いにつけ,好也罢，坏也罢
いいのこす,言い残す,没有说，留话，留言，遗嘱
いいべんきょうになる,いい勉強になる,受益匪浅
いいわけ,言い訳,分辩，辩解，辨白，道歉
いいん,委員,委员
いいん,医院,医院，诊所
いう,言う,说，讲，道，说话；叫做，称为；（声音）响；所有，凡是；形式上的用法
いえ,家,房，房子，屋，房屋；家，家庭
いえがつぶれる,家がつぶれる,房屋倒塌
イエス,yes,是，同意
いえで,家出,出奔，逃出家门，弃家出走，由家中逃出
いえにあがる,家に上がる,进到家里来
いえをでる,家を出る,出门
いおう,硫黄,硫，硫磺
いか,以下,以下，在～以下，以下，以下；后面
いがい,以外,以外，以外，之外，此外
いがい,意外,意外，想不到，出乎意料
いかが,如何,如何，怎么样，是否合适；请用
いがく,医学,医学
いかす,活かす,（活す）弄活，救活，使之苏醒；留活命；活用，有效地利用
いかす,生かす,弄活，救活，使之苏醒；留活命；活用，有效地利用
いかに,如何に,如何，怎样，无论怎样～也
いかに～ても,,无论怎样～也
いかにも,如何にも,无论如何；非常，的的确确，完全，实在，的确，果然；好像（真的）
いかり,怒り,怒，愤怒；生气，气愤，气
いかる,怒る,发怒，生气，愤怒，怒
いき,粋,漂亮，俊俏，俏皮，风流，洒脱，潇洒
いき,息,呼吸，喘气，气息，步调，呼吸作用
いき,行き,去，往；去的时候
いき,意気,意气，气势，气概
いぎ,異議,异议，不同的意见
いぎ,意義,意义，意思，价值
いきいき,生き生き,活泼，生气勃勃，生动，栩栩如生
いきいきと,生き生きと,非常生动
いきおい,勢い,势，势力；气势；势头；势必，自然而然地
いきがい,生き甲斐,生存的意义，生活的价值，活头儿
いきがいをみうしなう,生きがいを見失う,看不到生活的价值
いきぐるしい,息苦しい,呼吸困难，喘不过气来；沉闷，紧张，令人窒息的
いきごむ,意気込む,振奋，鼓起干劲，干劲十足，兴致勃勃
いきちがい,行き違い,走岔开，走两岔，互相错过；（联系）弄错，（意见）冲突，相左
いきづまる,息詰まる,紧张，窒息，喘不过气来，憋得慌，憋死
いきなり,行き成り,突然，冷不防，忽然
いきもの,生き物,生物，动物，有生命力的东西，活的东西，活物
イギリス,,英国
いきる,生きる,活，生存，保持生命，生活；生效，有效
いきをのむ,息を飲む,（因吃惊而）瞬间停止呼吸，倒吸一口凉气
いく,行く,（ゆく）去，走，到～去，往～去，赴
いく～,幾～,几，多少，许多
いくじ,育児,育儿，生儿育女，养孩子
いくせい,育成,培养，培育，培训，扶植
いくた,幾多,几多，许多
いくつ,幾つ,几个，多少，几岁
いくつ～か,,多少，几个，几岁
いくぶん,幾分,某种程度，一部分，有点儿，多少
いくら,幾ら,多少，多，若干，多少，多少钱；无论怎样，不论多少
いくら～か,,多少，多少钱，不论多少
いくら～ても,,即使多么～也，不论～也
いけ,池,池，池子，池塘，水池
いけない,,不可以，不行，不准，不要，不能；不好
いけばな,生け花,插花，插的花
いけぶくろ,池袋,日本地名，东京丰岛区的一个区域，池袋
いける,活ける,使活下去
いける,生ける,活着的；插，栽
いけん,異見,不同的意见，异议
いけん,意見,意见，见解，劝告，规劝
いげん,威厳,威严
いけんがわかれる,意見が分かれる,意见分歧
いご,囲碁,围棋
いご,以後,～以后，今后，之后，往后
いこう,移行,转移，过渡
いこう,以降,以后，之后
いこう,意向,意向，打算，意图
イコール,equal,等号，相等，等于
いざ,,（用于劝诱催促时）喂，唉，好啦，来吧，一旦，走吧
いざござをおこす,いざござを起こす,发生争执，口角
いさましい,勇ましい,勇敢的，勇猛的，活泼，生气勃勃，英勇的
